Year,Line,Station,Influx
2016,1,Pantitlan,17181357
2016,1,Zaragoza,19093141
2016,1,Gomez Farias,14170037
2016,1,Blvd. Puerto Aereo,9663402
2016,1,Balbuena,4942850
2016,1,Moctezuma,8547315
2016,1,San Lazaro,11898758
2016,1,Candelaria,9163851
2016,1,Merced,19312283
2016,1,Pino Suarez,12445853
2016,1,Isabel la Catolica,8671069
2016,1,Salto del Agua,8684401
2016,1,Balderas,8198425
2016,1,Cuauhtemoc,8512525
2016,1,Insurgentes,21737014
2016,1,Sevilla,12539284
2016,1,Chapultepec,20586480
2016,1,Juanacatlan,4446100
2016,1,Tacubaya,13018121
2016,1,Observatorio,27732577
2016,2,Cuatro Caminos,38962862
2016,2,Panteones,5759783
2016,2,Tacuba,13592650
2016,2,Cuitlahuac,7010603
2016,2,Popotla,3766005
2016,2,Colegio Militar,5556209
2016,2,Normal,13393733
2016,2,San Cosme,9417922
2016,2,Revolucion,10450175
2016,2,Hidalgo,11362462
2016,2,Bellas Artes,11709117
2016,2,Allende,11425327
2016,2,Zocalo,26678428
2016,2,Pino Suarez,9597356
2016,2,San Antonio Abad,8866883
2016,2,Chabacano,10272203
2016,2,Viaducto,7597169
2016,2,Xola,7785715
2016,2,Villa de Cortes,6772031
2016,2,Nativitas,7780389
2016,2,Portales,8090763
2016,2,Ermita,5985827
2016,2,General Anaya,10649317
2016,2,Tasquena,27943776
2016,3,Indios Verdes,42908356
2016,3,Deptvo. 18 de Marzo,13373725
2016,3,Potrero,6984359
2016,3,La Raza,11237304
2016,3,Tlatelolco,7857136
2016,3,Guerrero,4181162
2016,3,Hidalgo,6833493
2016,3,Juarez,6840125
2016,3,Balderas,2937959
2016,3,Ninos Heroes,7009591
2016,3,Hospital General,8449620
2016,3,Centro Medico,7915565
2016,3,Etiopia,11055480
2016,3,Eugenia,6721700
2016,3,Division del Norte,7106344
2016,3,Zapata,9937292
2016,3,Coyoacan,8719798
2016,3,Viveros,8495111
2016,3,Miguel angel de Quevedo,12813161
2016,3,Copilco,14958149
2016,3,Universidad,27022576
2016,4,Santa Anita,872802
2016,4,Jamaica,2731554
2016,4,Fray Servando,2964350
2016,4,Candelaria,2737480
2016,4,Morelos,2826122
2016,4,Canal del Norte,3252661
2016,4,Consulado,1586182
2016,4,Bondojito,2459781
2016,4,Talisman,2097842
2016,4,Martin Carrera,8988150
2016,5,Politecnico,12038043
2016,5,Inst. del Petroleo,1991703
2016,5,Autobuses del Norte,8682345
2016,5,La Raza,3484215
2016,5,Misterios,2985039
2016,5,Valle Gomez,1657884
2016,5,Consulado,1803613
2016,5,Eduardo Molina,2558663
2016,5,Aragon,2619656
2016,5,Oceania,3143547
2016,5,Terminal Aerea,6117190
2016,5,Hangares,1804140
2016,5,Pantitlan,35866955
2016,6,El Rosario,6319904
2016,6,Tezozomoc,2031143
2016,6,Azcapotzalco,3058994
2016,6,Ferreria,8644085
2016,6,Norte 45,2434878
2016,6,Vallejo,3052441
2016,6,Inst. del Petroleo,1341565
2016,6,Lindavista,6429652
2016,6,Deptvo. 18 de Marzo,666926
2016,6,La Villa-Basilica,5674969
2016,6,Martin Carrera,9527638
2016,7,El Rosario,14023384
2016,7,Aquiles Serdan,6057188
2016,7,Camarones,5508612
2016,7,Refineria,3841233
2016,7,Tacuba,2993642
2016,7,San Joaquin,9256336
2016,7,Polanco,11832706
2016,7,Auditorio,12218504
2016,7,Constituyentes,3178801
2016,7,Tacubaya,2443127
2016,7,San Pedro los Pinos,5070899
2016,7,San Antonio,5597161
2016,7,Mixcoac,8356587
2016,7,Barranca del Muerto,14508378
2016,8,Garibaldi,6730025
2016,8,Bellas Artes,8396784
2016,8,San Juan Letran,11286742
2016,8,Salto del Agua,6709999
2016,8,Doctores,4519391
2016,8,Obrera,4743367
2016,8,Chabacano,1394042
2016,8,La Viga,2575023
2016,8,Santa Anita,2363210
2016,8,Coyuya,7611525
2016,8,Iztacalco,7949025
2016,8,Apatlaco,5243455
2016,8,Aculco,3247038
2016,8,Escuadron 201,8607804
2016,8,Atlalilco,5489819
2016,8,Iztapalapa,3267242
2016,8,Cerro de la Estrella,4022013
2016,8,U A M  I,8796002
2016,8,Constitucion de 1917,33271713
2016,9,Pantitlan,33279237
2016,9,Puebla,11892743
2016,9,Ciudad Deportiva,2408254
2016,9,Velodromo,3401904
2016,9,Mixiuhca,7009299
2016,9,Jamaica,4325034
2016,9,Chabacano,3998201
2016,9,Lazaro Cardenas,4574899
2016,9,Centro Medico,5205246
2016,9,Chilpancingo,16059326
2016,9,Patriotismo,6549633
2016,9,Tacubaya,18231719
2016,A,Pantitlan,42431334
2016,A,Agricola Oriental,3626499
2016,A,Canal de San Juan,4621885
2016,A,Tepalcates,6241923
2016,A,Guelatao,6836208
2016,A,Penon Viejo,4490782
2016,A,Acatitla,4832704
2016,A,Santa Marta,9326927
2016,A,Los Reyes,6646731
2016,A,La Paz,12410669
2016,B,Buenavista,21423610
2016,B,Guerrero,2017245
2016,B,Garibaldi,2736070
2016,B,Lagunilla,9434444
2016,B,Tepito,8151741
2016,B,Morelos,1423353
2016,B,San Lazaro,5742892
2016,B,Ricardo Flores Magon,1957061
2016,B,Romero Rubio,3001060
2016,B,Oceania,3847734
2016,B,Deportivo Oceania,5966690
2016,B,Bosque de Aragon,2496091
2016,B,Villa de Aragon,5147843
2016,B,Nezahualcoyotl,8795582
2016,B,Impulsora,9300528
2016,B,Rio de los Remedios,8406660
2016,B,Muzquiz,11979577
2016,B,Tecnologico,10399823
2016,B,Olimpica,6651719
2016,B,Plaza Aragon,7516552
2016,B,Ciudad Azteca,22574939
2016,12,Tlahuac,14475541
2016,12,Tlaltenco,864854
2016,12,Zapotitlan,4134438
2016,12,Nopalera,5888690
2016,12,Olivos,4789236
2016,12,Tezonco,6295461
2016,12,Periferico Oriente,8363998
2016,12,Calle 11,4425985
2016,12,Lomas Estrella,3476299
2016,12,San Andres Tomatlan,3312057
2016,12,Culhuacan,4310520
2016,12,Atlalilco,4497651
2016,12,Mexicaltzingo,5797272
2016,12,Ermita,3646076
2016,12,Eje Central,3331007
2016,12,Parque de los Venados,3609186
2016,12,Zapata,4468452
2016,12,20 de Noviembre,4150150
2016,12,Insurgentes Sur,10534634
2016,12,Mixcoac,4926393
