Year,Line,Station,Influx
2012,1,Pantitlan,19068362
2012,1,Zaragoza,19636440
2012,1,Gomez Farias,13689263
2012,1,Blvd. Puerto Aereo,15955571
2012,1,Balbuena,8392031
2012,1,Moctezuma,15385878
2012,1,San Lazaro,11525457
2012,1,Candelaria,8818927
2012,1,Merced,15963013
2012,1,Pino Suarez,10674322
2012,1,Isabel la Catolica,9040676
2012,1,Salto del Agua,10243910
2012,1,Balderas,6962863
2012,1,Cuauhtemoc,7931980
2012,1,Insurgentes,16627698
2012,1,Sevilla,9766457
2012,1,Chapultepec,17522093
2012,1,Juanacatlan,7034456
2012,1,Tacubaya,16647594
2012,1,Observatorio,24936832
2012,2,Cuatro Caminos,42933161
2012,2,Panteones,7128102
2012,2,Tacuba,13278812
2012,2,Cuitlahuac,9152484
2012,2,Popotla,5399442
2012,2,Colegio Militar,6524941
2012,2,Normal,12640129
2012,2,San Cosme,9883935
2012,2,Revolucion,11024639
2012,2,Hidalgo,11909818
2012,2,Bellas Artes,8070613
2012,2,Allende,14245066
2012,2,Zocalo,19651029
2012,2,Pino Suarez,9268202
2012,2,San Antonio Abad,10573208
2012,2,Chabacano,11429221
2012,2,Viaducto,9682098
2012,2,Xola,10803113
2012,2,Villa de Cortes,7869692
2012,2,Nativitas,7457594
2012,2,Portales,8887259
2012,2,Ermita,10183491
2012,2,General Anaya,11001096
2012,2,Tasquena,40847631
2012,3,Indios Verdes,40125405
2012,3,Deptvo. 18 de Marzo,16096902
2012,3,Potrero,9324029
2012,3,La Raza,12044635
2012,3,Tlatelolco,9160297
2012,3,Guerrero,6987643
2012,3,Hidalgo,6925786
2012,3,Juarez,6934712
2012,3,Balderas,5442147
2012,3,Ninos Heroes,6979938
2012,3,Hospital General,8395708
2012,3,Centro Medico,7506799
2012,3,Etiopia,8833618
2012,3,Eugenia,7594542
2012,3,Division del Norte,7485109
2012,3,Zapata,11682698
2012,3,Coyoacan,8586901
2012,3,Viveros,10018003
2012,3,Miguel A. de Q.,10451759
2012,3,Copilco,14457726
2012,3,Universidad,28760314
2012,4,Santa Anita,2670344
2012,4,Jamaica,2601625
2012,4,Fray Servando,2640578
2012,4,Candelaria,2255959
2012,4,Morelos,2969612
2012,4,Canal del Norte,3170307
2012,4,Consulado,1954171
2012,4,Bondojito,2587731
2012,4,Talisman,2472665
2012,4,Martin Carrera,6415641
2012,5,Politecnico,12142498
2012,5,Inst. del Petroleo,2255046
2012,5,Autobuses del Norte,8892726
2012,5,La Raza,4269660
2012,5,Misterios,3224980
2012,5,Valle Gomez,1681310
2012,5,Consulado,2014709
2012,5,Eduardo Molina,2915243
2012,5,Aragon,2929011
2012,5,Oceania,3274381
2012,5,Terminal Aerea,5477872
2012,5,Hangares,1902550
2012,5,Pantitlan,24093004
2012,6,El Rosario,12841662
2012,6,Tezozomoc,2901291
2012,6,Azcapotzalco,2712965
2012,6,Ferreria,7296528
2012,6,Norte 45,2291655
2012,6,Vallejo,2448881
2012,6,Inst. del Petroleo,1723365
2012,6,Lindavista,6859088
2012,6,Deptvo. 18 de Marzo,1522310
2012,6,La Villa-Basilica,4970808
2012,6,Martin Carrera,12268999
2012,7,El Rosario,9269794
2012,7,Aquiles Serdan,7146988
2012,7,Camarones,5652396
2012,7,Refineria,3855085
2012,7,Tacuba,3152195
2012,7,San Joaquin,6114813
2012,7,Polanco,11188913
2012,7,Auditorio,11000976
2012,7,Constituyentes,4186337
2012,7,Tacubaya,2713817
2012,7,San Pedro los Pinos,4097163
2012,7,San Antonio,5680668
2012,7,Mixcoac,9011721
2012,7,Barranca del Muerto,11918034
2012,8,Garibaldi,15894327
2012,8,Bellas Artes,8136127
2012,8,San Juan Letran,7838062
2012,8,Salto del Agua,5355424
2012,8,Doctores,4711282
2012,8,Obrera,6561232
2012,8,Chabacano,2011380
2012,8,La Viga,3064787
2012,8,Santa Anita,3611255
2012,8,Coyuya,8071336
2012,8,Iztacalco,6759849
2012,8,Apatlaco,4832943
2012,8,Aculco,3670704
2012,8,Escuadron 201,8902300
2012,8,Atlalilco,6539334
2012,8,Iztapalapa,4894783
2012,8,Cerro de la Estrella,7139771
2012,8,UAM I,10858900
2012,8,Constitucion de 1917,26456800
2012,9,Pantitlan,22547428
2012,9,Puebla,11551239
2012,9,Ciudad Deportiva,7049477
2012,9,Velodromo,3975466
2012,9,Mixiuhca,7597062
2012,9,Jamaica,4758277
2012,9,Chabacano,4318989
2012,9,Lazaro Cardenas,5873062
2012,9,Centro Medico,4686903
2012,9,Chilpancingo,11246708
2012,9,Patriotismo,7802504
2012,9,Tacubaya,24460900
2012,A,Pantitlan,31469750
2012,A,Agricola Oriental,3724121
2012,A,Canal de San Juan,4812479
2012,A,Tepalcates,6307928
2012,A,Guelatao,8867578
2012,A,Penon Viejo,4924040
2012,A,Acatitla,5182670
2012,A,Santa Marta,9730073
2012,A,Los Reyes,7079553
2012,A,La Paz,10561801
2012,B,Buenavista,19339419
2012,B,Guerrero,2153245
2012,B,Garibaldi,3043197
2012,B,Lagunilla,8880431
2012,B,Tepito,8622465
2012,B,Morelos,1904417
2012,B,San Lazaro,5989853
2012,B,Ricardo Flores Magon,2539051
2012,B,Romero Rubio,3616810
2012,B,Oceania,4167794
2012,B,Deportivo Oceania,6793016
2012,B,Bosque de Aragon,2515504
2012,B,Villa de Aragon,5216530
2012,B,Nezahualcoyotl,9638760
2012,B,Impulsora,10917327
2012,B,Rio de los Remedios,7496788
2012,B,Muzquiz,13575862
2012,B,Tecnologico,11288939
2012,B,Olimpica,7618455
2012,B,Plaza Aragon,7869581
2012,B,Ciudad Azteca,23647562
2012,12,Tlahuac,1500495
2012,12,Tlaltenco,100733
2012,12,Zapotitlan,556812
2012,12,Nopalera,641089
2012,12,Olivos,615701
2012,12,Tezonco,730918
