Year,Line,Station,Influx
2019,5,Inst. del Petroleo,1257693
2019,5,Autobuses del Norte,4680911
2019,5,La Raza,6460155
2019,5,Misterios,1666692
2019,5,Valle Gomez,926427
2019,5,Consulado,1028194
2019,5,Eduardo Molina,1413558
2019,5,Aragon,1570730
2019,5,Oceania,1787586
2019,5,Terminal Aerea,3802629
2019,5,Hangares,1076985
2019,5,Pantitlan,21526720
2019,6,El Rosario,3429373
2019,6,Tezozomoc,1195104
2019,6,Azcapotzalco,1647256
2019,6,Ferreria,4854924
2019,6,Norte 45,1501482
2019,6,Vallejo,1659671
2019,6,Inst. del Petroleo,678892
2019,6,Lindavista,3692566
2019,6,Deptvo. 18 de Marzo,374596
2019,6,La Villa-Basilica,3057439
2019,6,Martin Carrera,6350965
2019,7,El Rosario,3429373
2019,7,Aquiles Serdan,3279949
2019,7,Camarones,3298864
2019,7,Refineria,2304032
2019,7,Tacuba,6780198
2019,7,San Joaquin,6176933
2019,7,Polanco,7696722
2019,7,Auditorio,7372418
2019,7,Constituyentes,1860639
2019,7,Tacubaya,7038852
2019,7,San Pedro los Pinos,2902321
2019,7,San Antonio,3028024
2019,7,Mixcoac,4654019
2019,7,Barranca del Muerto,9500034
2019,8,Garibaldi,3501888
2019,8,Bellas Artes,6267091
2019,8,San Juan Letran,5646211
2019,8,Salto del Agua,4252334
2019,8,Doctores,2601703
2019,8,Obrera,2511735
2019,8,Chabacano,906959
2019,8,La Viga,1588106
2019,8,Santa Anita,523954
2019,8,Coyuya,4862259
2019,8,Iztacalco,4464519
2019,8,Apatlaco,2949629
2019,8,Aculco,2040507
2019,8,Escuadron 201,4672812
2019,8,Atlalilco,3259556
2019,8,Iztapalapa,2331262
2019,8,Cerro de la Estrella,2526790
2019,8,UAM I,5198442
2019,8,Constitucion de 1917,18464916
2019,9,Pantitlan,9434373
2019,9,Puebla,6210089
2019,9,Ciudad Deportiva,1302894
2019,9,Velodromo,1625678
2019,9,Mixiuhca,3396933
2019,9,Jamaica,2275239
2019,9,Chabacano,1945232
2019,9,Lazaro Cardenas,2199438
2019,9,Centro Medico,2596923
2019,9,Chilpancingo,7699003
2019,9,Patriotismo,3318654
2019,9,Tacubaya,8202655
2019,A,Pantitlan,9434373
2019,A,Agricola Oriental,2345852
2019,A,Canal de San Juan,2613989
2019,A,Tepalcates,3661048
2019,A,Guelatao,4364540
2019,A,Penon Viejo,2829107
2019,A,Acatitla,3270609
2019,A,Santa Marta,5785105
2019,A,Los Reyes,3474652
2019,A,La Paz,8846664
2019,B,Buenavista,12474577
2019,B,Guerrero,2206820
2019,B,Garibaldi,3501888
2019,B,Lagunilla,4765054
2019,B,Tepito,4510676
2019,B,Morelos,1716863
2019,B,San Lazaro,6887906
2019,B,Ricardo Flores Magon,1241099
2019,B,Romero Rubio,1679561
2019,B,Oceania,1787586
2019,B,Deportivo Oceania,3151845
2019,B,Bosque de Aragon,1167794
2019,B,Villa de Aragon,2951006
2019,B,Nezahualcoyotl,4521509
2019,B,Impulsora,5164347
2019,B,Rio de los Remedios,4186224
2019,B,Muzquiz,6424876
2019,B,Tecnologico,5475416
2019,B,Olimpica,3625433
2019,B,Plaza Aragon,4111306
2019,B,Ciudad Azteca,12438922
2019,12,Tlahuac,11669991
2019,12,Tlaltenco,709992
2019,12,Zapotitlan,2822496
2019,12,Nopalera,4626554
2019,12,Olivos,3653924
2019,12,Tezonco,4728555
2019,12,Periferico Oriente,6781981
2019,12,Calle 11,2996583
2019,12,Lomas Estrella,2548312
2019,12,San Andres Tomatlan,2479885
2019,12,Culhuacan,3119724
2019,12,Atlalilco,2959468
2019,12,Mexicaltzingo,3967491
2019,12,Ermita,2217629
2019,12,Eje Central,2317674
2019,12,Parque de los Venados,2459971
2019,12,Zapata,5284253
2019,12,20 de Noviembre,2480476
2019,12,Insurgentes Sur,7341870
2019,12,Mixcoac,3384987
