Year,Line,Station,Influx
2019,1,Pantitlan,9434373
2019,1,Zaragoza,10048563
2019,1,Gomez Farias,6243719
2019,1,Blvd. Puerto Aereo,5054043
2019,1,Balbuena,2783452
2019,1,Moctezuma,4503652
2019,1,San Lazaro,6887906
2019,1,Candelaria,4754881
2019,1,Merced,10016484
2019,1,Pino Suarez,6351481
2019,1,Isabel la Catolica,4740844
2019,1,Salto del Agua,4252334
2019,1,Balderas,4208479
2019,1,Cuauhtemoc,4766605
2019,1,Insurgentes,11761808
2019,1,Sevilla,6428253
2019,1,Chapultepec,11267894
2019,1,Juanacatlan,2462803
2019,1,Tacubaya,7038852
2019,1,Observatorio,15301142
2019,2,Cuatro Caminos,22001329
2019,2,Panteones,2804677
2019,2,Tacuba,6780198
2019,2,Cuitlahuac,3875070
2019,2,Popotla,2071243
2019,2,Colegio Militar,3092839
2019,2,Normal,7110080
2019,2,San Cosme,4983429
2019,2,Revolucion,6199217
2019,2,Hidalgo,5480721
2019,2,Bellas Artes,6267091
2019,2,Allende,5847670
2019,2,Zocalo,14917058
2019,2,Pino Suarez,5265035
2019,2,San Antonio Abad,4432751
2019,2,Chabacano,6050970
2019,2,Viaducto,4208439
2019,2,Xola,4689290
2019,2,Villa de Cortes,3627384
2019,2,Nativitas,4189020
2019,2,Portales,4773828
2019,2,Ermita,3384250
2019,2,General Anaya,5215681
2019,2,Tasquena,15799888
2019,3,Indios Verdes,22347593
2019,3,Deptvo. 18 de Marzo,6891379
2019,3,Potrero,3562250
2019,3,La Raza,6460155
2019,3,Tlatelolco,4214092
2019,3,Guerrero,2206820
2019,3,Hidalgo,5480721
2019,3,Juarez,3565394
2019,3,Balderas,1646624
2019,3,Ninos Heroes,4519758
2019,3,Hospital General,4353928
2019,3,Centro Medico,4208976
2019,3,Etiopia,6195149
2019,3,Eugenia,3876872
2019,3,Division del Norte,3795499
2019,3,Zapata,5284253
2019,3,Coyoacan,5662789
2019,3,Viveros,4458305
2019,3,Miguel A. de Q.,6373759
2019,3,Copilco,7614631
2019,3,Universidad,14861953
2019,4,Santa Anita,523954
2019,4,Jamaica,1570012
2019,4,Fray Servando,1726083
2019,4,Candelaria,1673260
2019,4,Morelos,1716863
2019,4,Canal del Norte,1818125
2019,4,Consulado,919178
2019,4,Bondojito,1341692
2019,4,Talisman,1109717
2019,4,Martin Carrera,4047698
2019,5,Politecnico,7102060
