Año,Línea,Estación,Total
2018,1,Pantitlán,"15,986,200"
2018,1,Zaragoza,"18,168,605"
2018,1,Gómez Farías,"12,161,295"
2018,1,Blvd. Puerto Aéreo,"8,351,742"
2018,1,Balbuena,"4,791,005"
2018,1,Moctezuma,"8,510,790"
2018,1,San Lázaro,"11,745,396"
2018,1,Candelaria,"8,484,051"
2018,1,Merced,"17,833,957"
2018,1,Pino Suárez,"11,129,108"
2018,1,Isabel la Católica,"8,495,815"
2018,1,Salto del Agua,"7,457,088"
2018,1,Balderas,"7,509,318"
2018,1,Cuauhtémoc,"8,235,598"
2018,1,Insurgentes,"20,092,422"
2018,1,Sevilla,"11,062,555"
2018,1,Chapultepec,"19,363,646"
2018,1,Juanacatlán,"4,314,756"
2018,1,Tacubaya,"12,486,567"
2018,1,Observatorio,"26,970,170"
2018,2,Cuatro Caminos,"39,886,917"
2018,2,Panteones,"4,541,992"
2018,2,Tacuba,"11,900,680"
2018,2,Cuitláhuac,"6,819,391"
2018,2,Popotla,"3,679,693"
2018,2,Colegio Militar,"5,592,756"
2018,2,Normal,"12,895,151"
2018,2,San Cosme,"8,261,419"
2018,2,Revolución,"10,871,623"
2018,2,Hidalgo,"10,031,672"
2018,2,Bellas Artes,"11,403,706"
2018,2,Allende,"10,605,916"
2018,2,Zócalo,"26,421,132"
2018,2,Pino Suárez,"9,128,760"
2018,2,San Antonio Abad,"6,788,829"
2018,2,Chabacano,"10,831,155"
2018,2,Viaducto,"7,713,645"
2018,2,Xola,"8,037,593"
2018,2,Villa de Cortés,"6,162,928"
2018,2,Nativitas,"8,883,727"
2018,2,Portales,"8,658,198"
2018,2,Ermita,"6,132,567"
2018,2,General Anaya,"10,111,964"
2018,2,Tasqueña,"29,175,678"
2018,3,Indios Verdes,"40,302,169"
2018,3,Deptvo. 18 de Marzo,"13,187,272"
2018,3,Potrero,"6,269,063"
2018,3,La Raza,"11,761,940"
2018,3,Tlatelolco,"7,323,374"
2018,3,Guerrero,"3,928,420"
2018,3,Hidalgo,"6,653,075"
2018,3,Juárez,"6,400,618"
2018,3,Balderas,"2,839,394"
2018,3,Niños Héroes,"7,737,171"
2018,3,Hospital General,"7,882,229"
2018,3,Centro Médico,"7,923,555"
2018,3,Etiopía,"11,106,302"
2018,3,Eugenia,"6,694,794"
2018,3,División del Norte,"6,771,499"
2018,3,Zapata,"8,809,512"
2018,3,Coyoacán,"9,451,638"
2018,3,Viveros,"7,829,573"
2018,3,Miguel Ángel de Quevedo,"11,767,521"
2018,3,Copilco,"14,645,189"
2018,3,Universidad,"27,199,538"
2018,4,Santa Anita,"921,610"
2018,4,Jamaica,"3,022,497"
2018,4,Fray Servando,"3,182,617"
2018,4,Candelaria,"2,863,399"
2018,4,Morelos,"2,877,442"
