Año,Línea,Estación,Total
2018,4,Canal del Norte,"3,265,854"
2018,4,Consulado,"1,624,724"
2018,4,Bondojito,"2,393,689"
2018,4,Talismán,"2,020,237"
2018,4,Martín Carrera,"8,427,289"
2018,5,Politécnico,"12,436,525"
2018,5,Inst. del Petróleo,"2,175,015"
2018,5,Autobuses del Norte,"8,357,253"
2018,5,La Raza,"3,624,651"
2018,5,Misterios,"3,061,616"
2018,5,Valle Gómez,"1,662,292"
2018,5,Consulado,"1,806,039"
2018,5,Eduardo Molina,"2,561,895"
2018,5,Aragón,"2,733,501"
2018,5,Oceanía,"3,075,329"
2018,5,Terminal Aérea,"6,637,343"
2018,5,Hangares,"1,894,220"
2018,5,Pantitlán,"37,311,183"
2018,6,El Rosario,"6,311,614"
2018,6,Tezozomoc,"2,111,277"
2018,6,Azcapotzalco,"2,935,018"
2018,6,Ferrería,"8,737,309"
2018,6,Norte 45,"2,596,118"
2018,6,Vallejo,"2,774,548"
2018,6,Inst. del Petróleo,"1,222,993"
2018,6,Lindavista,"6,694,207"
2018,6,Deptvo. 18 de Marzo,"681,350"
2018,6,La Villa-Basilica,"5,635,079"
2018,6,Martín Carrera,"10,855,147"
2018,7,El Rosario,"13,240,097"
2018,7,Aquiles Serdán,"5,803,378"
2018,7,Camarones,"5,694,915"
2018,7,Refinería,"3,944,874"
2018,7,Tacuba,"3,153,828"
2018,7,San Joaquín,"9,843,032"
2018,7,Polanco,"12,402,252"
2018,7,Auditorio,"11,693,911"
2018,7,Constituyentes,"3,227,704"
2018,7,Tacubaya,"2,383,106"
2018,7,San Pedro los Pinos,"4,905,337"
2018,7,San Antonio,"5,704,256"
2018,7,Mixcoac,"8,469,708"
2018,7,Barranca del Muerto,"16,085,373"
2018,8,Garibaldi,"6,222,033"
2018,8,Bellas Artes,"7,936,353"
2018,8,San Juan Letrán,"10,088,092"
2018,8,Salto del Agua,"5,602,459"
2018,8,Doctores,"4,393,370"
2018,8,Obrera,"4,203,449"
2018,8,Chabacano,"1,571,045"
2018,8,La Viga,"2,635,022"
2018,8,Santa Anita,"2,463,841"
2018,8,Coyuya,"8,279,437"
2018,8,Iztacalco,"7,919,352"
2018,8,Apatlaco,"4,894,955"
2018,8,Aculco,"3,523,188"
2018,8,Escuadrón 201,"8,679,031"
2018,8,Atlalilco,"5,694,912"
2018,8,Iztapalapa,"3,969,098"
2018,8,Cerro de la Estrella,"4,326,059"
2018,8,U A M  I,"9,406,548"
2018,8,Constitución de 1917,"31,911,394"
2018,9,Pantitlán,"31,778,736"
2018,9,Puebla,"12,194,837"
2018,9,Ciudad Deportiva,"2,443,174"
2018,9,Velódromo,"3,253,838"
2018,9,Mixiuhca,"6,608,798"
2018,9,Jamaica,"4,378,419"
2018,9,Chabacano,"4,014,545"
2018,9,Lázaro Cárdenas,"4,385,713"
2018,9,Centro Médico,"5,289,525"
2018,9,Chilpancingo,"14,924,903"
2018,9,Patriotismo,"6,654,316"
2018,9,Tacubaya,"17,390,292"
2018,A,Pantitlán,"40,850,325"
2018,A,Agrícola Oriental,"3,933,652"
2018,A,Canal de San Juan,"4,440,479"
2018,A,Tepalcates,"6,314,510"
2018,A,Guelatao,"6,852,441"
2018,A,Peñón Viejo,"4,658,352"
2018,A,Acatitla,"5,340,589"
2018,A,Santa Marta,"9,620,244"
2018,A,Los Reyes,"5,828,441"
2018,A,La Paz,"14,737,134"
2018,B,Buenavista,"22,023,270"
2018,B,Guerrero,"2,157,120"
2018,B,Garibaldi,"2,694,474"
2018,B,Lagunilla,"8,811,544"
2018,B,Tepito,"7,942,264"
2018,B,Morelos,"1,807,924"
2018,B,San Lázaro,"4,541,276"
2018,B,Ricardo Flores Magón,"2,045,844"
2018,B,Romero Rubio,"2,863,109"
2018,B,Oceanía,"3,612,009"
2018,B,Deportivo Oceanía,"5,589,942"
2018,B,Bosque de Aragón,"2,234,978"
2018,B,Villa de Aragón,"5,314,564"
2018,B,Nezahualcóyotl,"8,117,663"
2018,B,Impulsora,"8,927,903"
2018,B,Río de los Remedios,"7,787,996"
2018,B,Múzquiz,"11,204,236"
2018,B,Tecnológico,"9,927,920"
2018,B,Olímpica,"6,356,791"
2018,B,Plaza Aragón,"7,428,085"
2018,B,Ciudad Azteca,"21,343,822"
2018,12,Tláhuac,"18,625,102"
2018,12,Tlaltenco,"1,118,914"
2018,12,Zapotitlán,"4,614,901"
2018,12,Nopalera,"7,366,927"
2018,12,Olivos,"5,975,875"
2018,12,Tezonco,"7,883,028"
2018,12,Periférico Oriente,"10,775,159"
2018,12,Calle 11,"5,013,591"
2018,12,Lomas Estrella,"4,376,819"
2018,12,San Andrés Tomatlán,"4,124,954"
2018,12,Culhuacán,"5,277,511"
2018,12,Atlalilco,"4,911,648"
2018,12,Mexicaltzingo,"6,687,360"
2018,12,Ermita,"3,731,662"
2018,12,Eje Central,"3,826,126"
2018,12,Parque de los Venados,"4,176,515"
2018,12,Zapata,"5,145,963"
2018,12,20 de Noviembre,"4,326,521"
2018,12,Insurgentes Sur,"12,182,849"
2018,12,Mixcoac,"5,774,280"
