Year,Line,Station,Influx
2017,1,Pantitlan,15461001
2017,1,Zaragoza,18655391
2017,1,Gomez Farias,11938118
2017,1,Blvd. Puerto Aereo,9012202
2017,1,Balbuena,4551153
2017,1,Moctezuma,7798657
2017,1,San Lazaro,11677986
2017,1,Candelaria,8734718
2017,1,Merced,18149919
2017,1,Pino Suarez,12258193
2017,1,Isabel la Catolica,8609467
2017,1,Salto del Agua,7660338
2017,1,Balderas,7797786
2017,1,Cuauhtemoc,7812188
2017,1,Insurgentes,20271258
2017,1,Sevilla,11354446
2017,1,Chapultepec,19281783
2017,1,Juanacatlan,4153639
2017,1,Tacubaya,12577366
2017,1,Observatorio,26764337
2017,2,Cuatro Caminos,39364914
2017,2,Panteones,5275374
2017,2,Tacuba,12683462
2017,2,Cuitlahuac,6732158
2017,2,Popotla,3672167
2017,2,Colegio Militar,5511466
2017,2,Normal,12954200
2017,2,San Cosme,8694990
2017,2,Revolucion,10584664
2017,2,Hidalgo,10193908
2017,2,Bellas Artes,11342493
2017,2,Allende,10920111
2017,2,Zocalo,25648342
2017,2,Pino Suarez,9155813
2017,2,San Antonio Abad,8453384
2017,2,Chabacano,10264980
2017,2,Viaducto,7591103
2017,2,Xola,7698179
2017,2,Villa de Cortes,6477842
2017,2,Nativitas,7236315
2017,2,Portales,8076454
2017,2,Ermita,5853753
2017,2,General Anaya,10477674
2017,2,Tasqueña,27075614
2017,3,Indios Verdes,40218841
2017,3,Deptvo. 18 de Marzo,13028092
2017,3,Potrero,6421265
2017,3,La Raza,11820693
2017,3,Tlatelolco,7408684
2017,3,Guerrero,3895318
2017,3,Hidalgo,6495781
2017,3,Juarez,6495647
2017,3,Balderas,2852962
2017,3,Niños Heroes,7118081
2017,3,Hospital General,8035005
2017,3,Centro Medico,7814324
2017,3,Etiopia,10892033
2017,3,Eugenia,6659665
2017,3,Division del Norte,6706794
2017,3,Zapata,9489440
2017,3,Coyoacan,8699196
2017,3,Viveros,8034608
2017,3,Miguel angel de Quevedo,12618896
2017,3,Copilco,14981668
2017,3,Universidad,26726286
2017,4,Santa Anita,861992
2017,4,Jamaica,2903552
2017,4,Fray Servando,3043479
2017,4,Candelaria,2760169
2017,4,Morelos,2808524
2017,4,Canal del Norte,3239834
2017,4,Consulado,1589728
2017,4,Bondojito,2296986
2017,4,Talisman,2031195
2017,4,Martin Carrera,8791991
2017,5,Politecnico,11917506
2017,5,Inst. del Petroleo,2014941
2017,5,Autobuses del Norte,8211462
2017,5,La Raza,3638243
2017,5,Misterios,3000250
2017,5,Valle Gomez,1620478
2017,5,Consulado,1776427
2017,5,Eduardo Molina,2437928
2017,5,Aragon,2624161
2017,5,Oceania,3035718
2017,5,Terminal Aerea,6282484
2017,5,Hangares,1850363
2017,5,Pantitlan,35302744
2017,6,El Rosario,6134797
2017,6,Tezozomoc,2018009
2017,6,Azcapotzalco,2970709
2017,6,Ferreria,8299914
2017,6,Norte 45,2535279
2017,6,Vallejo,2818557
2017,6,Inst. del Petroleo,1293320
2017,6,Lindavista,6530738
2017,6,Deptvo. 18 de Marzo,663193
2017,6,La Villa-Basilica,5624559
2017,6,Martin Carrera,10114832
2017,7,El Rosario,13287373
2017,7,Aquiles Serdan,5765053
2017,7,Camarones,5285813
2017,7,Refineria,3718657
2017,7,Tacuba,2936455
2017,7,San Joaquin,9116304
2017,7,Polanco,11981607
2017,7,Auditorio,12096093
2017,7,Constituyentes,3050791
2017,7,Tacubaya,2239783
2017,7,San Pedro los Pinos,4775143
2017,7,San Antonio,5569895
2017,7,Mixcoac,8314411
2017,7,Barranca del Muerto,15078243
2017,8,Garibaldi,6508152
2017,8,Bellas Artes,8077277
2017,8,San Juan Letran,10569327
2017,8,Salto del Agua,5963274
2017,8,Doctores,4270296
2017,8,Obrera,4487072
2017,8,Chabacano,1424001
2017,8,La Viga,2350772
2017,8,Santa Anita,2315712
2017,8,Coyuya,7674640
2017,8,Iztacalco,7666917
2017,8,Apatlaco,5332327
2017,8,Aculco,3152734
2017,8,Escuadron 201,8250338
2017,8,Atlalilco,5271085
2017,8,Iztapalapa,3625823
2017,8,Cerro de la Estrella,4062511
2017,8,UAM I,8846453
2017,8,Constitucion de 1917,30795626
2017,9,Pantitlan,30864327
2017,9,Puebla,11846171
2017,9,Ciudad Deportiva,2401534
2017,9,Velodromo,3271933
2017,9,Mixiuhca,6724486
2017,9,Jamaica,4198411
2017,9,Chabacano,3997946
2017,9,Lazaro Cardenas,4341319
2017,9,Centro Medico,5039274
2017,9,Chilpancingo,15544376
2017,9,Patriotismo,6468546
2017,9,Tacubaya,17542320
2017,A,Pantitlan,40865184
2017,A,Agricola Oriental,3651505
2017,A,Canal de San Juan,4547862
2017,A,Tepalcates,5142008
2017,A,Guelatao,6469026
2017,A,Peñon Viejo,4477026
2017,A,Acatitla,4905853
2017,A,Santa Marta,9027384
2017,A,Los Reyes,6731039
2017,A,La Paz,13869132
2017,B,Buenavista,21644709
2017,B,Guerrero,2099137
2017,B,Garibaldi,2369784
2017,B,Lagunilla,8885979
2017,B,Tepito,7558104
2017,B,Morelos,1631818
2017,B,San Lazaro,4698793
2017,B,Ricardo Flores Magon,1990396
2017,B,Romero Rubio,3011671
2017,B,Oceania,3581354
2017,B,Deportivo Oceania,5506834
2017,B,Bosque de Aragon,2352976
2017,B,Villa de Aragon,5025145
2017,B,Nezahualcoyotl,8111393
2017,B,Impulsora,8677537
2017,B,Rio de los Remedios,7678199
2017,B,Muzquiz,11039075
2017,B,Tecnologico,9633286
2017,B,Olimpica,6279368
2017,B,Plaza Aragon,7067177
2017,B,Ciudad Azteca,20861402
2017,12,Tlahuac,15084248
2017,12,Tlaltenco,898824
2017,12,Zapotitlan,3947346
2017,12,Nopalera,6098309
2017,12,Olivos,6750633
2017,12,Tezonco,7320523
2017,12,Periferico Oriente,9114439
2017,12,Calle 11,4688487
2017,12,Lomas Estrella,4031403
2017,12,San Andres Tomatlan,3688601
2017,12,Culhuacan,4750865
2017,12,Atlalilco,4551908
2017,12,Mexicaltzingo,6163465
2017,12,Ermita,3932297
2017,12,Eje Central,3493383
2017,12,Parque de los Venados,3917164
2017,12,Zapata,4906836
2017,12,20 de Noviembre,4215476
2017,12,Insurgentes Sur,11182761
2017,12,Mixcoac,5508039
